 ---------------------------------------------------------------
Surface and Strip forces by surface

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     main_wing_1                             
     # chordwise = 10   # spanwise =100     First strip =  1
     Surface area =  17.880           ave. chord =  2.7158    
     CLsurf  =   0.097731     Clsurf  =  -0.011063
     CYsurf  =  -0.000120     Cmsurf  =  -0.055889
     CDsurf  =   0.002949     Cnsurf  =  -0.000287
     CDisurf =   0.000881     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.357538     cd_surf =   0.010788

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
   130   12.59      -1.333       1.385       2.797      0.2344     -0.1518E-12  0.8336      0.2670E-02  0.2986       0.000     -0.2836E-02   0.000      0.2673E-02  0.2410       0.000    
   131   12.59      -1.417       1.385       2.797      0.2398      0.1484E-12  0.8371     -0.6743E-02  0.3000       0.000     -0.5789E-02   0.000      0.3549E-02  0.2382       0.000    
   132   12.59      -1.504       1.385       2.797      0.2450       0.000      0.8409     -0.4661E-01  0.3019       0.000     -0.1614E-01   0.000      0.4618E-02  0.2347       0.000    
   133   12.59      -1.580       1.385       2.797      0.1796       0.000      0.6399      0.4878E-01  0.4551      0.2267      0.4649E-01   0.000      0.4373E-01  0.1539       2.971    
   134   12.59      -1.656       1.385       2.796      0.2478       0.000      0.5918      0.4708E-01  0.4571      0.2457      0.3495E-01   0.000      0.4489E-01  0.1518       2.972    
   135   12.59      -1.746       1.385       2.795      0.2520     -0.1411E-12  0.5650      0.4591E-01  0.4587      0.2568      0.3237E-01   0.000      0.4601E-01  0.1497       2.974    
   136   12.59      -1.837       1.385       2.793      0.2559      0.1389E-12  0.5473      0.4505E-01  0.4599      0.2643      0.3132E-01   0.000      0.4697E-01  0.1479       2.976    
   137   12.59      -1.929       1.385       2.791      0.2595       0.000      0.5346      0.4439E-01  0.4610      0.2697      0.3077E-01   0.000      0.4777E-01  0.1464       2.977    
   138   12.59      -2.023       1.385       2.789      0.2629     -0.1350E-12  0.5250      0.4386E-01  0.4616      0.2737      0.3044E-01   0.000      0.4842E-01  0.1451       2.979    
   139   12.59      -2.117       1.385       2.787      0.2660      0.1333E-12  0.5176      0.4343E-01  0.4618      0.2764      0.3021E-01   0.000      0.4888E-01  0.1441       2.981    
   140   12.59      -2.213       1.385       2.786      0.2688       0.000      0.5119      0.4308E-01  0.4614      0.2778      0.3003E-01   0.000      0.4912E-01  0.1435       2.983    
   141   12.59      -2.310       1.385       2.784      0.2714       0.000      0.5074      0.4281E-01  0.4601      0.2780      0.2986E-01   0.000      0.4907E-01  0.1433       2.985    
   142   12.59      -2.408       1.385       2.782      0.2737      0.1293E-12  0.5041      0.4270E-01  0.4580      0.2770      0.2968E-01   0.000      0.4877E-01  0.1435       2.987    
   143   12.59      -2.507       1.385       2.780      0.2757     -0.1283E-12  0.5017      0.4283E-01  0.4559      0.2757      0.2954E-01   0.000      0.4841E-01  0.1438       2.990    
   144   12.59      -2.607       1.385       2.778      0.2775       0.000      0.5005      0.4680E-01  0.4550      0.2750      0.2948E-01   0.000      0.4826E-01  0.1439       2.992    
   145   12.59      -2.707       1.385       2.776      0.2790       0.000      0.5003      0.3720E-01  0.4557      0.2757      0.2954E-01   0.000      0.4846E-01  0.1437       2.994    
   146   12.59      -2.808       1.385       2.774      0.2802       0.000      0.5012      0.4238E-01  0.4579      0.2774      0.2969E-01   0.000      0.4892E-01  0.1432       2.996    
   147   12.59      -2.909       1.385       2.772      0.2811       0.000      0.5033      0.4259E-01  0.4609      0.2796      0.2991E-01   0.000      0.4953E-01  0.1425       2.998    
   148   12.59      -3.011       1.385       2.770      0.2817       0.000      0.5065      0.4268E-01  0.4639      0.2813      0.3017E-01   0.000      0.5007E-01  0.1421       3.000    
   149   12.59      -3.112       1.385       2.768      0.2821       0.000      0.5109      0.4293E-01  0.4661      0.2818      0.3044E-01   0.000      0.5033E-01  0.1420       3.002    
   150   12.60      -3.214       1.385       2.766      0.2821       0.000      0.5169      0.4329E-01  0.4674      0.2808      0.3072E-01   0.000      0.5028E-01  0.1424       3.004    
   151   12.60      -3.316       1.385       2.764      0.2819       0.000      0.5250      0.4375E-01  0.4680      0.2783      0.3107E-01   0.000      0.4999E-01  0.1432       3.007    
   152   12.60      -3.418       1.385       2.762      0.2814     -0.1249E-12  0.5360      0.4433E-01  0.4681      0.2743      0.3158E-01   0.000      0.4948E-01  0.1443       3.009    
   153   12.60      -3.520       1.385       2.760      0.2807      0.1251E-12  0.5518      0.4512E-01  0.4678      0.2682      0.3245E-01   0.000      0.4877E-01  0.1458       3.011    
   154   12.60      -3.622       1.385       2.758      0.2797       0.000      0.5759      0.4623E-01  0.4672      0.2587      0.3432E-01   0.000      0.4786E-01  0.1476       3.013    
   155   12.60      -3.723       1.385       2.756      0.2784       0.000      0.6203      0.4796E-01  0.4661      0.2413      0.4147E-01   0.000      0.4669E-01  0.1498       3.015    
   156   12.60      -3.827       1.385       2.754      0.2931      0.1196E-12  0.8509     -0.4380E-01  0.3103       0.000     -0.1665E-01   0.000      0.6727E-02  0.2283       0.000    
   157   12.60      -3.933       1.385       2.752      0.2911     -0.1203E-12  0.8475     -0.5238E-02  0.3087       0.000     -0.6398E-02   0.000      0.5676E-02  0.2316       0.000    
   158   12.60      -4.038       1.385       2.750      0.2888       0.000      0.8443      0.3539E-02  0.3076       0.000     -0.3495E-02   0.000      0.4894E-02  0.2341       0.000    
   159   12.60      -4.143       1.385       2.748      0.2863       0.000      0.8411      0.7619E-02  0.3066       0.000     -0.1978E-02   0.000      0.4265E-02  0.2361       0.000    
   160   12.60      -4.245       1.385       2.741      0.2727     -0.1279E-12  0.8378      0.9697E-02  0.3062       0.000     -0.1169E-02   0.000      0.3773E-02  0.2377       0.000    
   161   12.60      -4.344       1.385       2.729      0.2687      0.1292E-12  0.8345      0.1073E-01  0.3063       0.000     -0.7488E-03   0.000      0.3375E-02  0.2390       0.000    
   162   12.61      -4.441       1.385       2.717      0.2645       0.000      0.8312      0.1140E-01  0.3064       0.000     -0.4191E-03   0.000      0.3029E-02  0.2401       0.000    
   163   12.61      -4.538       1.385       2.705      0.2601       0.000      0.8279      0.1183E-01  0.3065       0.000     -0.1662E-03   0.000      0.2728E-02  0.2411       0.000    
   164   12.61      -4.634       1.385       2.693      0.2554       0.000      0.8246      0.1209E-01  0.3066       0.000      0.3138E-04   0.000      0.2465E-02  0.2420       0.000    
   165   12.62      -4.728       1.385       2.681      0.2506       0.000      0.8214      0.1224E-01  0.3067       0.000      0.1884E-03   0.000      0.2235E-02  0.2427       0.000    
   166   12.62      -4.821       1.385       2.670      0.2456       0.000      0.8181      0.1231E-01  0.3068       0.000      0.3150E-03   0.000      0.2033E-02  0.2434       0.000    
   167   12.62      -4.912       1.385       2.659      0.2404      0.1407E-12  0.8150      0.1232E-01  0.3069       0.000      0.4184E-03   0.000      0.1855E-02  0.2440       0.000    
   168   12.62      -5.001       1.385       2.648      0.2350     -0.1434E-12  0.8118      0.1229E-01  0.3070       0.000      0.5036E-03   0.000      0.1698E-02  0.2445       0.000    
   169   12.63      -5.089       1.385       2.637      0.2294       0.000      0.8087      0.1223E-01  0.3071       0.000      0.5745E-03   0.000      0.1559E-02  0.2449       0.000    
   170   12.63      -5.175       1.385       2.626      0.2236      0.1494E-12  0.8057      0.1214E-01  0.3072       0.000      0.6339E-03   0.000      0.1437E-02  0.2453       0.000    
   171   12.63      -5.260       1.385       2.616      0.2177     -0.1529E-12  0.8027      0.1204E-01  0.3072       0.000      0.6839E-03   0.000      0.1329E-02  0.2457       0.000    
   172   12.64      -5.342       1.385       2.606      0.2117       0.000      0.7998      0.1192E-01  0.3073       0.000      0.7262E-03   0.000      0.1234E-02  0.2460       0.000    
   173   12.64      -5.422       1.385       2.596      0.2055       0.000      0.7970      0.1180E-01  0.3074       0.000      0.7621E-03   0.000      0.1149E-02  0.2463       0.000    
   174   12.64      -5.500       1.385       2.586      0.1991       0.000      0.7942      0.1168E-01  0.3075       0.000      0.7927E-03   0.000      0.1074E-02  0.2465       0.000    
   175   12.64      -5.576       1.385       2.577      0.1926       0.000      0.7915      0.1155E-01  0.3075       0.000      0.8188E-03   0.000      0.1008E-02  0.2467       0.000    
   176   12.64      -5.650       1.385       2.568      0.1860       0.000      0.7889      0.1142E-01  0.3076       0.000      0.8411E-03   0.000      0.9495E-03  0.2469       0.000    
   177   12.65      -5.721       1.385       2.559      0.1793       0.000      0.7864      0.1130E-01  0.3077       0.000      0.8601E-03   0.000      0.8976E-03  0.2471       0.000    
   178   12.65      -5.790       1.385       2.551      0.1724       0.000      0.7840      0.1117E-01  0.3077       0.000      0.8763E-03   0.000      0.8517E-03  0.2472       0.000    
   179   12.65      -5.856       1.385       2.543      0.1655       0.000      0.7816      0.1105E-01  0.3078       0.000      0.8901E-03   0.000      0.8111E-03  0.2474       0.000    
   180   12.65      -5.920       1.385       2.535      0.1584       0.000      0.7794      0.1093E-01  0.3078       0.000      0.9019E-03   0.000      0.7752E-03  0.2475       0.000    
   181   12.65      -5.981       1.385       2.527      0.1513       0.000      0.7772      0.1082E-01  0.3079       0.000      0.9119E-03   0.000      0.7434E-03  0.2476       0.000    
   182   12.66      -6.040       1.385       2.520      0.1440       0.000      0.7752      0.1071E-01  0.3080       0.000      0.9203E-03   0.000      0.7155E-03  0.2477       0.000    
   183   12.66      -6.095       1.385       2.513      0.1367       0.000      0.7732      0.1060E-01  0.3080       0.000      0.9274E-03   0.000      0.6909E-03  0.2478       0.000    
   184   12.66      -6.148       1.385       2.507      0.1293       0.000      0.7714      0.1050E-01  0.3081       0.000      0.9333E-03   0.000      0.6692E-03  0.2478       0.000    
   185   12.66      -6.198       1.385       2.501      0.1218       0.000      0.7696      0.1041E-01  0.3081       0.000      0.9382E-03   0.000      0.6503E-03  0.2479       0.000    
   186   12.66      -6.246       1.385       2.495      0.1142       0.000      0.7680      0.1032E-01  0.3082       0.000      0.9422E-03   0.000      0.6337E-03  0.2479       0.000    
   187   12.66      -6.290       1.385       2.489      0.1066       0.000      0.7664      0.1024E-01  0.3083       0.000      0.9455E-03   0.000      0.6192E-03  0.2480       0.000    
   188   12.67      -6.331       1.385       2.484      0.9895E-01   0.000      0.7650      0.1016E-01  0.3083       0.000      0.9481E-03   0.000      0.6067E-03  0.2480       0.000    
   189   12.67      -6.370       1.385       2.479      0.9122E-01   0.000      0.7636      0.1009E-01  0.3084       0.000      0.9501E-03   0.000      0.5958E-03  0.2481       0.000    
   190   12.67      -6.405       1.385       2.475      0.8345E-01   0.000      0.7624      0.1002E-01  0.3084       0.000      0.9517E-03   0.000      0.5865E-03  0.2481       0.000    
   191   12.67      -6.437       1.385       2.471      0.7563E-01   0.000      0.7613      0.9963E-02  0.3084       0.000      0.9528E-03   0.000      0.5785E-03  0.2481       0.000    
   192   12.67      -6.466       1.385       2.468      0.6777E-01   0.000      0.7603      0.9909E-02  0.3085       0.000      0.9537E-03   0.000      0.5717E-03  0.2481       0.000    
   193   12.67      -6.492       1.385       2.464      0.5988E-01   0.000      0.7594      0.9862E-02  0.3085       0.000      0.9542E-03   0.000      0.5660E-03  0.2482       0.000    
   194   12.67      -6.515       1.385       2.462      0.5196E-01   0.000      0.7586      0.9820E-02  0.3085       0.000      0.9546E-03   0.000      0.5613E-03  0.2482       0.000    
   195   12.67      -6.534       1.385       2.459      0.4401E-01   0.000      0.7579      0.9784E-02  0.3086       0.000      0.9547E-03   0.000      0.5574E-03  0.2482       0.000    
   196   12.67      -6.550       1.385       2.457      0.3604E-01   0.000      0.7574      0.9755E-02  0.3086       0.000      0.9546E-03   0.000      0.5543E-03  0.2482       0.000    
   197   12.67      -6.563       1.385       2.456      0.2805E-01   0.000      0.7569      0.9731E-02  0.3086       0.000      0.9545E-03   0.000      0.5519E-03  0.2482       0.000    
   198   12.67      -6.573       1.385       2.454      0.2004E-01   0.000      0.7566      0.9713E-02  0.3086       0.000      0.9542E-03   0.000      0.5502E-03  0.2482       0.000    
   199   12.67      -6.580       1.385       2.454      0.1203E-01   0.000      0.7564      0.9701E-02  0.3086       0.000      0.9534E-03   0.000      0.5491E-03  0.2482       0.000    
   200   12.67      -6.583       1.385       2.453      0.4011E-02   0.000      0.7563      0.9695E-02  0.3086       0.000      0.9516E-03   0.000      0.5485E-03  0.2482       0.000    

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 3     main_wing_2                             
     # chordwise = 10   # spanwise =100     First strip =201
     Surface area =  14.826           ave. chord =  1.9968    
     CLsurf  =   0.080265     Clsurf  =  -0.028352
     CYsurf  =  -0.000225     Cmsurf  =  -0.046311
     CDsurf  =   0.002439     Cnsurf  =  -0.000542
     CDisurf =   0.000606     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.354128     cd_surf =   0.010761

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
   201   12.67       6.584       1.385       2.453      0.4528E-02   0.000      0.7562      0.9692E-02  0.3086       0.000      0.9535E-03   0.000      0.5462E-03  0.2482       0.000    
   202   12.67       6.588       1.385       2.453      0.1358E-01   0.000      0.7561      0.9686E-02  0.3086       0.000      0.9553E-03   0.000      0.5456E-03  0.2482       0.000    
   203   12.67       6.595       1.385       2.452      0.2260E-01   0.000      0.7558      0.9672E-02  0.3086       0.000      0.9561E-03   0.000      0.5444E-03  0.2482       0.000    
   204   12.67       6.606       1.385       2.450      0.3159E-01   0.000      0.7554      0.9652E-02  0.3087       0.000      0.9565E-03   0.000      0.5426E-03  0.2482       0.000    
   205   12.67       6.621       1.385       2.449      0.4054E-01   0.000      0.7549      0.9626E-02  0.3087       0.000      0.9568E-03   0.000      0.5403E-03  0.2482       0.000    
   206   12.68       6.639       1.385       2.446      0.4942E-01 -0.6298E-12  0.7543      0.9592E-02  0.3087       0.000      0.9570E-03   0.000      0.5376E-03  0.2483       0.000    
   207   12.68       6.661       1.385       2.444      0.5823E-01  0.5339E-12  0.7535      0.9553E-02  0.3087       0.000      0.9570E-03   0.000      0.5346E-03  0.2483       0.000    
   208   12.68       6.687       1.385       2.440      0.6694E-01   0.000      0.7527      0.9507E-02  0.3088       0.000      0.9568E-03   0.000      0.5313E-03  0.2483       0.000    
   209   12.68       6.716       1.385       2.437      0.7556E-01   0.000      0.7517      0.9454E-02  0.3088       0.000      0.9563E-03   0.000      0.5280E-03  0.2483       0.000    
   210   12.68       6.749       1.385       2.433      0.8405E-01   0.000      0.7505      0.9396E-02  0.3089       0.000      0.9556E-03   0.000      0.5247E-03  0.2483       0.000    
   211   12.68       6.785       1.385       2.428      0.9243E-01   0.000      0.7493      0.9331E-02  0.3089       0.000      0.9545E-03   0.000      0.5217E-03  0.2483       0.000    
   212   12.68       6.825       1.385       2.424      0.1007       0.000      0.7479      0.9261E-02  0.3090       0.000      0.9529E-03   0.000      0.5190E-03  0.2483       0.000    
   213   12.68       6.868       1.385       2.418      0.1087       0.000      0.7465      0.9185E-02  0.3091       0.000      0.9508E-03   0.000      0.5170E-03  0.2483       0.000    
   214   12.68       6.915       1.385       2.412      0.1166       0.000      0.7449      0.9103E-02  0.3091       0.000      0.9480E-03   0.000      0.5157E-03  0.2483       0.000    
   215   12.69       6.965       1.385       2.406      0.1244       0.000      0.7432      0.9015E-02  0.3092       0.000      0.9445E-03   0.000      0.5156E-03  0.2483       0.000    
   216   12.69       7.018       1.385       2.400      0.1319      0.2314E-12  0.7414      0.8923E-02  0.3093       0.000      0.9401E-03   0.000      0.5168E-03  0.2483       0.000    
   217   12.69       7.075       1.385       2.393      0.1393     -0.2185E-12  0.7395      0.8824E-02  0.3094       0.000      0.9346E-03   0.000      0.5196E-03  0.2483       0.000    
   218   12.69       7.135       1.385       2.385      0.1464     -0.2072E-12  0.7375      0.8721E-02  0.3095       0.000      0.9280E-03   0.000      0.5245E-03  0.2483       0.000    
   219   12.69       7.198       1.385       2.378      0.1534      0.1972E-12  0.7354      0.8612E-02  0.3097       0.000      0.9200E-03   0.000      0.5317E-03  0.2483       0.000    
   220   12.69       7.264       1.385       2.370      0.1601      0.1883E-12  0.7332      0.8498E-02  0.3098       0.000      0.9104E-03   0.000      0.5418E-03  0.2483       0.000    
   221   12.70       7.333       1.385       2.361      0.1666       0.000      0.7310      0.8378E-02  0.3100       0.000      0.8989E-03   0.000      0.5553E-03  0.2482       0.000    
   222   12.70       7.405       1.385       2.352      0.1728     -0.1732E-12  0.7286      0.8252E-02  0.3101       0.000      0.8852E-03   0.000      0.5728E-03  0.2482       0.000    
   223   12.70       7.480       1.385       2.343      0.1788       0.000      0.7261      0.8120E-02  0.3103       0.000      0.8689E-03   0.000      0.5950E-03  0.2481       0.000    
   224   12.70       7.557       1.385       2.333      0.1845       0.000      0.7236      0.7980E-02  0.3105       0.000      0.8496E-03   0.000      0.6228E-03  0.2480       0.000    
   225   12.71       7.638       1.385       2.324      0.1900       0.000      0.7210      0.7832E-02  0.3107       0.000      0.8266E-03   0.000      0.6573E-03  0.2479       0.000    
   226   12.71       7.721       1.385       2.313      0.1952       0.000      0.7184      0.7674E-02  0.3109       0.000      0.7993E-03   0.000      0.6997E-03  0.2477       0.000    
   227   12.71       7.807       1.385       2.303      0.2001       0.000      0.7157      0.7503E-02  0.3112       0.000      0.7666E-03   0.000      0.7516E-03  0.2476       0.000    
   228   12.71       7.895       1.385       2.292      0.2048      0.1424E-12  0.7129      0.7317E-02  0.3114       0.000      0.7275E-03   0.000      0.8149E-03  0.2474       0.000    
   229   12.72       7.985       1.385       2.281      0.2092     -0.1387E-12  0.7101      0.7111E-02  0.3117       0.000      0.6803E-03   0.000      0.8920E-03  0.2471       0.000    
   230   12.72       8.078       1.385       2.269      0.2132       0.000      0.7072      0.6879E-02  0.3120       0.000      0.6231E-03   0.000      0.9856E-03  0.2468       0.000    
   231   12.72       8.173       1.385       2.258      0.2170       0.000      0.7043      0.6613E-02  0.3124       0.000      0.5529E-03   0.000      0.1099E-02  0.2465       0.000    
   232   12.73       8.270       1.385       2.246      0.2206       0.000      0.7014      0.6300E-02  0.3127       0.000      0.4660E-03   0.000      0.1238E-02  0.2460       0.000    
   233   12.73       8.369       1.385       2.234      0.2238       0.000      0.6985      0.5922E-02  0.3131       0.000      0.3571E-03   0.000      0.1407E-02  0.2455       0.000    
   234   12.73       8.471       1.385       2.221      0.2267       0.000      0.6955      0.5454E-02  0.3135       0.000      0.2184E-03   0.000      0.1613E-02  0.2449       0.000    
   235   12.73       8.574       1.385       2.209      0.2293      0.1225E-12  0.6925      0.4855E-02  0.3140       0.000      0.3823E-04   0.000      0.1865E-02  0.2441       0.000    
   236   12.74       8.678       1.385       2.196      0.2317     -0.1206E-12  0.6896      0.4060E-02  0.3145       0.000     -0.2017E-03   0.000      0.2176E-02  0.2431       0.000    
   237   12.74       8.785       1.385       2.183      0.2337     -0.1188E-12  0.6866      0.2959E-02  0.3150       0.000     -0.5318E-03   0.000      0.2560E-02  0.2419       0.000    
   238   12.74       8.892       1.385       2.169      0.2355      0.1172E-12  0.6837      0.1351E-02  0.3157       0.000     -0.1007E-02   0.000      0.3038E-02  0.2404       0.000    
   239   12.75       9.002       1.385       2.156      0.2370       0.000      0.6808     -0.1182E-02  0.3163       0.000     -0.1737E-02   0.000      0.3642E-02  0.2385       0.000    
   240   12.75       9.112       1.385       2.142      0.2381      0.1144E-12  0.6781     -0.5665E-02  0.3171       0.000     -0.2987E-02   0.000      0.4416E-02  0.2361       0.000    
   241   12.75       9.224       1.385       2.129      0.2390     -0.1133E-12  0.6755     -0.1562E-01  0.3181       0.000     -0.5615E-02   0.000      0.5441E-02  0.2329       0.000    
   242   12.76       9.337       1.385       2.115      0.2397       0.000      0.6732     -0.6010E-01  0.3196       0.000     -0.1512E-01   0.000      0.6908E-02  0.2284       0.000    
   243   12.76       9.449       1.385       2.101      0.2315       0.000      0.4672      0.4694E-01  0.5247      0.3026      0.4461E-01   0.000      0.5974E-01  0.1361       3.956    
   244   12.76       9.559       1.385       2.087      0.2316       0.000      0.4257      0.4480E-01  0.5273      0.3236      0.3851E-01   0.000      0.6193E-01  0.1326       3.981    
   245   12.77       9.671       1.385       2.074      0.2315       0.000      0.4017      0.4345E-01  0.5293      0.3358      0.3687E-01   0.000      0.6375E-01  0.1295       4.008    
   246   12.77       9.782       1.385       2.060      0.2311       0.000      0.3851      0.4250E-01  0.5308      0.3441      0.3616E-01   0.000      0.6530E-01  0.1270       4.034    
   247   12.78       9.895       1.385       2.046      0.2305     -0.1129E-12  0.3724      0.4181E-01  0.5319      0.3501      0.3579E-01   0.000      0.6658E-01  0.1248       4.062    
   248   12.78       10.01       1.385       2.032      0.2296      0.1126E-12  0.3622      0.4129E-01  0.5322      0.3542      0.3554E-01   0.000      0.6755E-01  0.1231       4.089    
   249   12.78       10.12       1.385       2.018      0.2285       0.000      0.3537      0.4091E-01  0.5315      0.3565      0.3533E-01   0.000      0.6816E-01  0.1218       4.118    
   250   12.79       10.23       1.385       2.004      0.2271       0.000      0.3464      0.4070E-01  0.5296      0.3570      0.3511E-01   0.000      0.6838E-01  0.1209       4.146    
   251   12.79       10.35       1.385       1.990      0.2255     -0.1123E-12  0.3401      0.4055E-01  0.5273      0.3566      0.3491E-01   0.000      0.6841E-01  0.1203       4.175    
   252   12.79       10.46       1.385       1.976      0.2237      0.1124E-12  0.3348      0.3821E-01  0.5258      0.3567      0.3478E-01   0.000      0.6857E-01  0.1196       4.205    
   253   12.80       10.57       1.385       1.963      0.2217       0.000      0.3304      0.4206E-01  0.5261      0.3580      0.3478E-01   0.000      0.6905E-01  0.1187       4.234    
   254   12.80       10.69       1.385       1.949      0.2195       0.000      0.3269      0.4087E-01  0.5286      0.3611      0.3494E-01   0.000      0.7001E-01  0.1176       4.265    
   255   12.80       10.80       1.385       1.935      0.2171       0.000      0.3243      0.4095E-01  0.5322      0.3648      0.3519E-01   0.000      0.7109E-01  0.1164       4.295    
   256   12.81       10.91       1.385       1.921      0.2145       0.000      0.3227      0.4124E-01  0.5351      0.3673      0.3543E-01   0.000      0.7190E-01  0.1156       4.326    
   257   12.81       11.02       1.385       1.907      0.2117       0.000      0.3221      0.4170E-01  0.5367      0.3681      0.3565E-01   0.000      0.7229E-01  0.1153       4.357    
   258   12.81       11.13       1.385       1.894      0.2087       0.000      0.3229      0.4227E-01  0.5372      0.3670      0.3589E-01   0.000      0.7230E-01  0.1154       4.388    
   259   12.82       11.24       1.385       1.880      0.2055     -0.1164E-12  0.3257      0.4300E-01  0.5370      0.3640      0.3624E-01   0.000      0.7198E-01  0.1160       4.420    
   260   12.82       11.35       1.385       1.867      0.2022      0.1174E-12  0.3319      0.4397E-01  0.5362      0.3587      0.3690E-01   0.000      0.7135E-01  0.1169       4.451    
   261   12.82       11.46       1.385       1.854      0.1988       0.000      0.3443      0.4529E-01  0.5348      0.3493      0.3843E-01   0.000      0.7037E-01  0.1184       4.483    
   262   12.83       11.57       1.385       1.841      0.1951       0.000      0.3718      0.4733E-01  0.5327      0.3310      0.4427E-01   0.000      0.6894E-01  0.1206       4.515    
   263   12.83       11.67       1.385       1.827      0.2006       0.000      0.5380     -0.5407E-01  0.2955       0.000     -0.1271E-01   0.000      0.8815E-02  0.2202       0.000    
   264   12.83       11.78       1.385       1.814      0.1964      0.1175E-12  0.5272     -0.1049E-01  0.2913       0.000     -0.4358E-02   0.000      0.7318E-02  0.2249       0.000    
   265   12.84       11.89       1.385       1.801      0.1921       0.000      0.5166     -0.2238E-03  0.2874       0.000     -0.1957E-02   0.000      0.6309E-02  0.2280       0.000    
   266   12.84       12.00       1.385       1.788      0.1877     -0.1212E-12  0.5060      0.4716E-02  0.2835       0.000     -0.7670E-03   0.000      0.5583E-02  0.2303       0.000    
   267   12.84       12.10       1.385       1.775      0.1832     -0.1233E-12  0.4953      0.7750E-02  0.2794       0.000     -0.4073E-04   0.000      0.5055E-02  0.2319       0.000    
   268   12.85       12.20       1.385       1.762      0.1785       0.000      0.4845      0.9885E-02  0.2753       0.000      0.4547E-03   0.000      0.4676E-02  0.2330       0.000    
   269   12.85       12.30       1.385       1.750      0.1738      0.2563E-12  0.4736      0.1153E-01  0.2710       0.000      0.8174E-03   0.000      0.4413E-02  0.2337       0.000    
   270   12.85       12.40       1.385       1.738      0.1689       0.000      0.4626      0.1289E-01  0.2665       0.000      0.1096E-02   0.000      0.4245E-02  0.2341       0.000    
   271   12.86       12.50       1.385       1.726      0.1640     -0.1339E-12  0.4514      0.1407E-01  0.2618       0.000      0.1318E-02   0.000      0.4154E-02  0.2341       0.000    
   272   12.86       12.59       1.385       1.715      0.1590     -0.1372E-12  0.4400      0.1513E-01  0.2569       0.000      0.1500E-02   0.000      0.4125E-02  0.2339       0.000    
   273   12.86       12.68       1.385       1.703      0.1539      0.1408E-12  0.4284      0.1612E-01  0.2518       0.000      0.1652E-02   0.000      0.4149E-02  0.2335       0.000    
   274   12.86       12.77       1.385       1.692      0.1487       0.000      0.4166      0.1707E-01  0.2464       0.000      0.1781E-02   0.000      0.4216E-02  0.2329       0.000    
   275   12.87       12.86       1.385       1.682      0.1435       0.000      0.4046      0.1798E-01  0.2408       0.000      0.1891E-02   0.000      0.4319E-02  0.2321       0.000    
   276   12.87       12.94       1.385       1.671      0.1382       0.000      0.3924      0.1887E-01  0.2350       0.000      0.1985E-02   0.000      0.4450E-02  0.2311       0.000    
   277   12.87       13.02       1.385       1.661      0.1328       0.000      0.3798      0.1974E-01  0.2288       0.000      0.2066E-02   0.000      0.4604E-02  0.2299       0.000    
   278   12.87       13.10       1.385       1.652      0.1274       0.000      0.3670      0.2060E-01  0.2224       0.000      0.2134E-02   0.000      0.4775E-02  0.2285       0.000    
   279   12.88       13.18       1.385       1.642      0.1220       0.000      0.3539      0.2146E-01  0.2157       0.000      0.2191E-02   0.000      0.4956E-02  0.2270       0.000    
   280   12.88       13.25       1.385       1.634      0.1165       0.000      0.3405      0.2230E-01  0.2086       0.000      0.2237E-02   0.000      0.5143E-02  0.2254       0.000    
   281   12.88       13.32       1.385       1.625      0.1110       0.000      0.3268      0.2313E-01  0.2013       0.000      0.2272E-02   0.000      0.5328E-02  0.2235       0.000    
   282   12.88       13.39       1.385       1.617      0.1054       0.000      0.3128      0.2395E-01  0.1936       0.000      0.2296E-02   0.000      0.5505E-02  0.2216       0.000    
   283   12.88       13.45       1.385       1.609      0.9987E-01   0.000      0.2984      0.2475E-01  0.1856       0.000      0.2309E-02   0.000      0.5668E-02  0.2195       0.000    
   284   12.89       13.51       1.385       1.601      0.9426E-01   0.000      0.2837      0.2553E-01  0.1773       0.000      0.2311E-02   0.000      0.5809E-02  0.2172       0.000    
   285   12.89       13.57       1.385       1.594      0.8863E-01   0.000      0.2686      0.2630E-01  0.1686       0.000      0.2301E-02   0.000      0.5922E-02  0.2149       0.000    
   286   12.89       13.62       1.385       1.588      0.8298E-01   0.000      0.2532      0.2704E-01  0.1596       0.000      0.2278E-02   0.000      0.5998E-02  0.2124       0.000    
   287   12.89       13.67       1.385       1.582      0.7732E-01   0.000      0.2375      0.2775E-01  0.1503       0.000      0.2244E-02   0.000      0.6030E-02  0.2099       0.000    
   288   12.89       13.72       1.385       1.576      0.7164E-01   0.000      0.2214      0.2844E-01  0.1406       0.000      0.2195E-02   0.000      0.6010E-02  0.2073       0.000    
