 ---------------------------------------------------------------
Surface and Strip forces by surface

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     main_wing_1                             
     # chordwise = 10   # spanwise =100     First strip =  1
     Surface area =  17.880           ave. chord =  2.7158    
     CLsurf  =   0.097731     Clsurf  =  -0.011063
     CYsurf  =  -0.000120     Cmsurf  =  -0.055889
     CDsurf  =   0.002949     Cnsurf  =  -0.000287
     CDisurf =   0.000881     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.357538     cd_surf =   0.010788

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
    34   12.59       1.656       1.385       2.796      0.2478       0.000      0.5923      0.4708E-01  0.4574      0.2459      0.3498E-01   0.000      0.4492E-01  0.1518       2.972    
    35   12.59       1.746       1.385       2.795      0.2520      0.1411E-12  0.5656      0.4591E-01  0.4590      0.2569      0.3241E-01   0.000      0.4604E-01  0.1497       2.974    
    36   12.59       1.837       1.385       2.793      0.2559     -0.1389E-12  0.5479      0.4505E-01  0.4604      0.2645      0.3136E-01   0.000      0.4702E-01  0.1479       2.976    
    37   12.59       1.929       1.385       2.791      0.2595       0.000      0.5352      0.4439E-01  0.4615      0.2700      0.3082E-01   0.000      0.4786E-01  0.1463       2.977    
    38   12.59       2.023       1.385       2.789      0.2629      0.1350E-12  0.5257      0.4386E-01  0.4624      0.2742      0.3050E-01   0.000      0.4854E-01  0.1450       2.979    
    39   12.59       2.117       1.385       2.787      0.2660     -0.1333E-12  0.5184      0.4344E-01  0.4628      0.2771      0.3029E-01   0.000      0.4906E-01  0.1440       2.981    
    40   12.59       2.213       1.385       2.786      0.2688       0.000      0.5127      0.4309E-01  0.4627      0.2789      0.3014E-01   0.000      0.4938E-01  0.1433       2.983    
    41   12.59       2.310       1.385       2.784      0.2714       0.000      0.5084      0.4282E-01  0.4619      0.2796      0.2999E-01   0.000      0.4946E-01  0.1429       2.985    
    42   12.59       2.408       1.385       2.782      0.2737     -0.1293E-12  0.5051      0.4269E-01  0.4605      0.2792      0.2986E-01   0.000      0.4932E-01  0.1429       2.987    
    43   12.59       2.507       1.385       2.780      0.2757      0.1283E-12  0.5029      0.4276E-01  0.4590      0.2784      0.2975E-01   0.000      0.4910E-01  0.1430       2.990    
