"Time_Iter","Outer_Iter","Inner_Iter",       "CD"       ,       "CL"       
          0,           0,           0,      0.4906055596,       0.703603213
          0,           0,          10,      0.5950962994,      0.8873345785
          0,           0,          20,      0.1724410191,      0.6085519924
          0,           0,          30,    -0.01778800019,      0.4550947421
          0,           0,          40,    -0.09404426849,      0.2285063402
          0,           0,          50,    -0.07841195989,      0.1170016075
          0,           0,          60,    -0.03168104629,      0.1894048753
          0,           0,          70,  -0.0001167470115,        0.38454918
          0,           0,          80,     -0.0072935387,      0.4283924498
          0,           0,          90,    -0.01821978454,      0.3010483227
          0,           0,         100,    -0.02188112785,       0.252792036
          0,           0,         110,     -0.0173456748,      0.3157518338
          0,           0,         120,   -0.007504533385,      0.4585982973
          0,           0,         130,   -0.007140964244,      0.5418366199
          0,           0,         140,    -0.01290989583,      0.5153638492
          0,           0,         150,    -0.01345876957,      0.4247674495
          0,           0,         160,   -0.005912153262,      0.3172504929
          0,           0,         170,   -0.003032042626,      0.2673001917
          0,           0,         180,     -0.0113517969,      0.2931480292
          0,           0,         190,    -0.02201677453,      0.3765901224
          0,           0,         200,      -0.023721573,      0.4443317299
          0,           0,         210,     -0.0185320622,      0.4633391743
          0,           0,         220,    -0.01174120789,      0.4450193936
          0,           0,         230,   -0.008116646476,      0.4075809518
          0,           0,         240,     -0.0100315776,      0.3770152981
          0,           0,         250,    -0.01679993881,      0.3644445096
          0,           0,         260,    -0.02366142741,      0.3697624977
          0,           0,         270,    -0.02623895833,      0.3804414965
          0,           0,         280,    -0.02396167295,      0.3885826919
          0,           0,         290,    -0.01881936361,      0.3920440221
          0,           0,         300,    -0.01331325119,        0.39486285
          0,           0,         310,   -0.009760912158,      0.4008605383
          0,           0,         320,   -0.008172655508,      0.4120700703
          0,           0,         330,   -0.008968956669,      0.4244815525
          0,           0,         340,     -0.0117582611,      0.4362231923
          0,           0,         350,    -0.01595353018,      0.4425184654
          0,           0,         360,    -0.02010403759,      0.4374282743
          0,           0,         370,    -0.02277615515,      0.4193995501
          0,           0,         380,    -0.02323651269,      0.3967623991
          0,           0,         390,    -0.02163417097,      0.3769539025
          0,           0,         400,     -0.0182632496,      0.3702209053
          0,           0,         410,    -0.01383684513,      0.3807922894
          0,           0,         420,    -0.01007680017,      0.4017326963
          0,           0,         430,   -0.008253732518,      0.4234214498
          0,           0,         440,   -0.009811075446,      0.4351856516
          0,           0,         450,    -0.01405548739,      0.4352164056
          0,           0,         460,    -0.01995187222,      0.4289079298
          0,           0,         470,    -0.02397931279,      0.4241071045
          0,           0,         480,    -0.02550940304,      0.4228524566
          0,           0,         490,     -0.0236621651,      0.4247767254
          0,           0,         500,     -0.0194655732,      0.4268653744
          0,           0,         510,     -0.0146896257,      0.4270698853
          0,           0,         520,    -0.01146021759,       0.425694846
          0,           0,         530,   -0.009615683674,      0.4232327419
          0,           0,         540,    -0.00981813926,      0.4204168621
          0,           0,         550,    -0.01154051609,      0.4176877594
          0,           0,         560,    -0.01392396905,      0.4155754005
          0,           0,         570,    -0.01620657544,      0.4145923201
          0,           0,         580,    -0.01799891847,      0.4147897886
          0,           0,         590,    -0.01929385649,      0.4158184273
          0,           0,         600,    -0.02021571199,      0.4175770499
          0,           0,         610,    -0.02078379678,      0.4207092805
          0,           0,         620,    -0.02071122693,      0.4257439558
          0,           0,         630,     -0.0197003232,      0.4324579757
          0,           0,         640,    -0.01795186549,      0.4383814773
          0,           0,         650,    -0.01564083351,      0.4418369311
          0,           0,         660,    -0.01397731851,      0.4406229421
          0,           0,         670,    -0.01300675969,      0.4348651784
          0,           0,         680,    -0.01308334281,      0.4264664318
          0,           0,         690,    -0.01386916787,      0.4186778947
          0,           0,         700,    -0.01484115291,      0.4143573624
          0,           0,         710,    -0.01566316263,      0.4144873452
          0,           0,         720,    -0.01636684988,      0.4178657214
          0,           0,         730,    -0.01705995894,      0.4216106992
          0,           0,         740,    -0.01801860466,      0.4251207091
          0,           0,         750,    -0.01903413191,      0.4276386134
          0,           0,         760,    -0.01973919569,      0.4297819502
          0,           0,         770,    -0.01979812319,      0.4323558844
          0,           0,         780,    -0.01907191335,      0.4347732752
          0,           0,         790,    -0.01774104844,      0.4360256111
