"Time_Iter","Outer_Iter","Inner_Iter",       "CD"       ,       "CL"       
          0,           0,           0,      0.4903860397,       0.702785975
          0,           0,          10,       0.596678185,      0.8904700427
          0,           0,          20,      0.1749874603,      0.6138386544
          0,           0,          30,    -0.01776338417,      0.4656844918
          0,           0,          40,    -0.09135010699,      0.2631306454
          0,           0,          50,    -0.08645149697,      0.1140872751
          0,           0,          60,    -0.03760389791,      0.1518691651
          0,           0,          70,    0.003275017247,      0.3821724567
          0,           0,          80,   -0.005406356864,      0.4637953231
          0,           0,          90,    -0.02069662773,      0.3476946216
          0,           0,         100,    -0.02376292606,      0.2554284089
          0,           0,         110,    -0.01699364959,      0.2998253999
          0,           0,         120,   -0.007902125092,      0.4200584554
          0,           0,         130,   -0.005367564938,      0.5146688215
          0,           0,         140,     -0.0101896758,      0.5208362347
          0,           0,         150,     -0.0140060252,       0.460439927
          0,           0,         160,   -0.009241010205,      0.3696975113
          0,           0,         170,   -0.004357204543,       0.304464868
          0,           0,         180,    -0.01100537967,      0.3026330661
          0,           0,         190,    -0.02092807093,      0.3518597249
          0,           0,         200,    -0.02482406346,      0.4192401899
          0,           0,         210,    -0.02016173644,       0.455689439
          0,           0,         220,    -0.01259450179,      0.4558323131
          0,           0,         230,   -0.007132905399,      0.4280147825
          0,           0,         240,   -0.007177361053,      0.3978363029
          0,           0,         250,    -0.01228552543,      0.3767202016
          0,           0,         260,    -0.02010925024,      0.3741216448
          0,           0,         270,    -0.02585152253,      0.3855225902
          0,           0,         280,    -0.02652240465,      0.3948130371
          0,           0,         290,    -0.02386208499,      0.3970763924
          0,           0,         300,    -0.01900703068,      0.3951320768
          0,           0,         310,    -0.01447496107,      0.3965469559
          0,           0,         320,    -0.01045210391,       0.405467337
          0,           0,         330,   -0.008255710187,      0.4207733981
          0,           0,         340,   -0.008477945384,      0.4385359499
          0,           0,         350,    -0.01097845595,      0.4522782383
          0,           0,         360,    -0.01524740269,      0.4582038124
          0,           0,         370,    -0.01964597658,      0.4519433016
          0,           0,         380,    -0.02322285103,      0.4320876101
          0,           0,         390,    -0.02438780269,      0.4035115604
          0,           0,         400,    -0.02267352136,      0.3809331946
          0,           0,         410,    -0.01886605035,      0.3733345387
          0,           0,         420,    -0.01370564015,      0.3827638141
          0,           0,         430,   -0.008718767219,      0.4046235717
          0,           0,         440,   -0.006162648366,      0.4264207936
          0,           0,         450,   -0.007720822456,      0.4419440525
          0,           0,         460,    -0.01258624877,      0.4453717273
          0,           0,         470,     -0.0199389903,      0.4428408025
          0,           0,         480,    -0.02632898688,      0.4383382059
          0,           0,         490,     -0.0287977172,      0.4347274299
          0,           0,         500,    -0.02662508685,      0.4323823095
          0,           0,         510,    -0.02102409915,      0.4311841648
          0,           0,         520,    -0.01513273772,      0.4311769956
          0,           0,         530,   -0.009626919824,      0.4320813789
          0,           0,         540,   -0.006923545413,      0.4327971949
          0,           0,         550,   -0.006596510041,      0.4325307105
          0,           0,         560,   -0.008748871439,      0.4307838847
          0,           0,         570,    -0.01232806934,      0.4282099417
          0,           0,         580,    -0.01612959706,      0.4257578942
          0,           0,         590,    -0.01932399944,      0.4237902539
          0,           0,         600,    -0.02126398077,      0.4224464365
          0,           0,         610,    -0.02224054863,      0.4218353463
          0,           0,         620,    -0.02218442239,      0.4233552799
          0,           0,         630,    -0.02142294717,      0.4275710848
          0,           0,         640,     -0.0199180723,      0.4352678952
          0,           0,         650,    -0.01793134894,      0.4438673082
          0,           0,         660,    -0.01557498468,      0.4508723775
          0,           0,         670,    -0.01369882263,      0.4522093937
          0,           0,         680,    -0.01294188308,      0.4483566724
          0,           0,         690,    -0.01317776922,      0.4405258616
          0,           0,         700,    -0.01415455558,      0.4324087123
          0,           0,         710,    -0.01525447444,      0.4265923618
