"Time_Iter","Outer_Iter","Inner_Iter",       "CD"       ,       "CL"       
          0,           0,           0,      0.6079208967,      0.8163314811
          0,           0,          10,      0.6735319117,       1.006742127
          0,           0,          20,      0.1924576658,      0.6997061355
          0,           0,          30,     0.01218773892,      0.5798144468
          0,           0,          40,     -0.1000573762,      0.3424919936
          0,           0,          50,     -0.1181766465,      0.1403839208
          0,           0,          60,    -0.09388984398,     0.01894476873
          0,           0,          70,    -0.05146804488,     0.09725933984
          0,           0,          80,   -0.008072056161,      0.3087956228
          0,           0,          90,    0.002740782046,      0.4657178815
          0,           0,         100,    -0.01641501023,      0.4538858942
          0,           0,         110,    -0.03020343543,      0.3733569248
          0,           0,         120,    -0.02922862976,      0.3262209622
          0,           0,         130,     -0.0209779424,      0.3436135634
          0,           0,         140,    -0.01626683048,      0.3892822499
          0,           0,         150,    -0.02011882475,      0.4112868639
          0,           0,         160,    -0.02793495697,      0.4029719664
          0,           0,         170,    -0.03059031928,      0.3934213655
          0,           0,         180,     -0.0239370952,      0.3946480351
          0,           0,         190,    -0.01744350842,      0.3878146409
          0,           0,         200,    -0.01644726077,       0.364532776
          0,           0,         210,    -0.02160734265,      0.3452435604
          0,           0,         220,    -0.02857293957,      0.3497919789
          0,           0,         230,    -0.02972367634,       0.387081027
          0,           0,         240,    -0.02341448521,      0.4409779369
          0,           0,         250,    -0.01786479876,      0.4695714884
          0,           0,         260,    -0.01707364478,      0.4625123143
          0,           0,         270,    -0.02240219514,       0.415575146
          0,           0,         280,    -0.03087138322,      0.3469698079
          0,           0,         290,    -0.03688694906,      0.3054420657
          0,           0,         300,    -0.03844201536,      0.3143724297
          0,           0,         310,     -0.0363997551,      0.3615420388
          0,           0,         320,    -0.03230505746,      0.4113331326
          0,           0,         330,    -0.02641966512,      0.4449778047
          0,           0,         340,    -0.02085983104,      0.4493197093
          0,           0,         350,    -0.01585804167,      0.4336850662
          0,           0,         360,    -0.01461006999,      0.4094569937
          0,           0,         370,    -0.01809992587,      0.3896831454
          0,           0,         380,    -0.02473587229,      0.3875340342
          0,           0,         390,    -0.03269167396,      0.4054368047
          0,           0,         400,    -0.03888425147,      0.4330911796
          0,           0,         410,    -0.04011558001,       0.446937286
          0,           0,         420,     -0.0358186809,      0.4403866759
          0,           0,         430,    -0.02754843646,      0.4153359052
          0,           0,         440,     -0.0184825204,      0.3850923198
          0,           0,         450,    -0.01319496753,      0.3667689815
          0,           0,         460,    -0.01308637169,      0.3645110321
          0,           0,         470,    -0.01809560229,      0.3765267649
          0,           0,         480,    -0.02561851632,       0.393684542
          0,           0,         490,    -0.03374764081,      0.4108945717
          0,           0,         500,    -0.03938982895,      0.4238009465
          0,           0,         510,    -0.04089968012,      0.4327985601
          0,           0,         520,     -0.0385648561,      0.4400716866
          0,           0,         530,    -0.03301475327,      0.4469997265
          0,           0,         540,    -0.02630796442,        0.45093289
          0,           0,         550,    -0.02184318249,       0.448760591
          0,           0,         560,    -0.01976823803,      0.4383714376
          0,           0,         570,    -0.02073166909,      0.4222686108
          0,           0,         580,    -0.02312580245,       0.406269493
          0,           0,         590,    -0.02523392121,      0.3957770126
          0,           0,         600,    -0.02627738342,       0.393019845
          0,           0,         610,    -0.02654534799,        0.39696912
          0,           0,         620,    -0.02678024283,      0.4043185542
          0,           0,         630,    -0.02758823188,      0.4127357149
          0,           0,         640,    -0.02914854678,      0.4206291734
          0,           0,         650,    -0.03092281888,        0.42699205
          0,           0,         660,    -0.03190941025,      0.4314216098
          0,           0,         670,    -0.03135075696,      0.4330858337
          0,           0,         680,    -0.02967759953,      0.4322991075
          0,           0,         690,      -0.027628868,      0.4290981791
          0,           0,         700,    -0.02632389056,         0.4244113
          0,           0,         710,    -0.02612761972,      0.4195385995
          0,           0,         720,    -0.02669803027,      0.4179314661
          0,           0,         730,    -0.02702322019,      0.4209336372
          0,           0,         740,      -0.026636727,      0.4274133963
          0,           0,         750,    -0.02559411103,      0.4340463567
          0,           0,         760,    -0.02460417824,       0.436039762
          0,           0,         770,    -0.02422523706,      0.4313741803
          0,           0,         780,    -0.02485016419,      0.4203262417
          0,           0,         790,    -0.02634578692,      0.4080974862
          0,           0,         800,    -0.02824223529,      0.4009561948
          0,           0,         810,    -0.03010110406,      0.4028117934
          0,           0,         820,    -0.03161043843,      0.4132690247
          0,           0,         830,    -0.03244897095,      0.4281180032
          0,           0,         840,    -0.03233290428,      0.4398436074
          0,           0,         850,    -0.03116101871,      0.4471775191
          0,           0,         860,    -0.02908094099,      0.4472803745
          0,           0,         870,     -0.0262532877,      0.4403547252
          0,           0,         880,    -0.02353426592,      0.4289316417
          0,           0,         890,    -0.02178477753,      0.4175519408
          0,           0,         900,    -0.02155804517,      0.4110180877
          0,           0,         910,    -0.02272091249,        0.40997707
          0,           0,         920,    -0.02503289621,       0.414697538
          0,           0,         930,    -0.02762616608,      0.4225048128
          0,           0,         940,    -0.03005865907,      0.4310303462
          0,           0,         950,    -0.03133875223,       0.435663059
          0,           0,         960,    -0.03128950394,       0.434930961
          0,           0,         970,    -0.03018762486,      0.4299481748
          0,           0,         980,    -0.02858415754,      0.4234773699
          0,           0,         990,    -0.02707173686,      0.4183680478
          0,           0,        1000,    -0.02609000186,       0.416305795
          0,           0,        1010,    -0.02582271257,      0.4174039898
          0,           0,        1020,    -0.02619679861,      0.4206064948
          0,           0,        1030,    -0.02696045972,      0.4244980377
          0,           0,        1040,    -0.02779663552,      0.4280063822
          0,           0,        1050,    -0.02839851329,      0.4304949252
          0,           0,        1060,    -0.02868140792,      0.4320762756
          0,           0,        1070,    -0.02862730102,      0.4328346748
          0,           0,        1080,    -0.02826403974,      0.4325718784
          0,           0,        1090,    -0.02770227973,      0.4312555656
