group,label,lambda_real,lambda_imag,zeta,freq_hz,lon_frac,lat_frac,oth_frac
9,short-period,-0.5280492418943437,1.0670022718989112,0.4435462956844202,0.16981868586299426,0.7469049673759313,0.014355162909201545,0.23873986971429761
9,dutch-roll,-0.5948274926058004,1.0114535921993666,0.5069281854258162,0.16097783890658332,0.024207791403738833,0.8558064194380743,0.11998578915739219
9,phugoid,-0.020370723355982185,0.18367774388822294,0.11022886312975577,0.02923322087577785,0.08619895548951227,8.780923152077263e-06,0.9137922635868293
9,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
10,roll,-22.108458383980892,0.0,1.0,0.0,0.003574067599120822,0.9951774923106403,0.0012484400897589416
10,short-period,-0.721831201430255,1.814696650027334,0.3696033994900769,0.28881794206415345,0.8914507360276899,0.005014235981894024,0.10353502798980437
10,dutch-roll,-0.8373327065473569,1.1006120190306707,0.6054808512535649,0.17516784325508244,0.0025382905013090432,0.9307888114397861,0.06667289805804567
10,phugoid,-0.03400522915795437,0.19055134137143032,0.17568151185825676,0.030327187892054314,0.09118320417371065,7.85393160283714e-06,0.9088089418941807
10,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
11,roll,-22.19731042270286,0.0,1.0,0.0,0.0037235844929907956,0.9950262202931096,0.0012501952134140908
11,short-period,-0.7175119842007966,1.7971498387446345,0.3707900956830377,0.2860252803130112,0.8900162228193416,0.005164500161488844,0.10481927701855491
11,dutch-roll,-0.8301516732796577,1.110137141474628,0.5988677053645715,0.1766838135755938,0.0027296694205398418,0.9316216707760377,0.06564865980256174
11,phugoid,-0.03306373030529855,0.19050919084757612,0.17099828754933002,0.030320479427829006,0.09098650563359427,7.98237632178739e-06,0.9090055119895778
11,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
12,roll,-22.32203897587085,0.0,1.0,0.0,0.003966258911216464,0.9947770793254888,0.0012566617628010546
12,short-period,-0.7132317749650631,1.769331254502915,0.37387443762338285,0.2815978151211232,0.8876578492583888,0.0054345880873669,0.10690756265362547
12,dutch-roll,-0.821841096120445,1.1246487432117076,0.590008352261872,0.17899340672423095,0.0031025596599915644,0.9331630315209759,0.06373440881816966
12,phugoid,-0.03174717818248775,0.19034884676049998,0.1645117750818062,0.03029495987377528,0.09065015994855335,7.5889676847654795e-06,0.9093422510832552
12,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
13,roll,-22.43162802522523,0.0,1.0,0.0,0.004121303671133679,0.9946269053929457,0.0012517909354198783
13,short-period,-0.7015687193267168,1.7258235418719696,0.3765857077223798,0.2746733475932866,0.8833392157499501,0.005659590683010284,0.11100119356641841
13,dutch-roll,-0.8070217502952993,1.1297445634817918,0.5812674519862325,0.1798044317093227,0.003489097217108668,0.9322534086791902,0.0642574941028385
13,phugoid,-0.030555547043038978,0.19012113503665487,0.1586799412704751,0.030258718427325356,0.09033201766976877,8.261094786290725e-06,0.9096597212349378
13,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
14,roll,-22.546592534110626,0.0,1.0,0.0,0.004228066614648283,0.9945273002593769,0.0012446331254671568
